id,rating,reviewable_type,entity_id,comment,manual_label
1,5,hotel,1,"Super ganda ng room! Clean bed, working AC, and ang bait ng staff. Will definitely book again next summer.",positive,
2,5,hotel,2,"The ocean view was breathtaking and spotless. Staff were super polite and always smiling.",positive,
3,4,hotel,3,"Spacious balcony with a perfect beachfront view. Water pressure can be low during peak hours though.",neutral,
4,5,hotel,4,"Breakfast buffet was fantastic, lobby spotless, and check-in took under five minutes.",positive,
5,3,hotel,5,"Nice pool area and friendly front desk, but the Wi-Fi in the secondary building was spotty.",neutral,
6,4,hotel,6,"Quiet AC, comfortable king bed, daily housekeeping was top notch.",positive,
7,5,hotel,7,"Amazing sunset views from the balcony, super worth it! The staff even surprised us on our anniversary.",positive,
8,2,hotel,8,"Room smelled a bit musty and the air conditioner was noisy. Location is great though.",negative,
9,5,room,1,"Very clean and cozy. Ang sarap ng breakfast at mabait ang lahat ng staff.",positive,
10,4,room,1,"Good value for money, great location near D'Mall. Bed was comfortable and room was quiet.",positive,
11,5,room,2,"Loved every minute. The infinity pool with direct beach access was the highlight of our stay.",positive,
12,3,room,3,"Decent stay overall. Some noise from the pool area at night, but the room itself was comfortable.",neutral,
13,4,room,4,"Friendly staff and fast check-in. Bathroom could use some renovation but everything was clean.",positive,
14,5,room,5,"Perfect for families! The kids loved the pool and the staff were so helpful with our requests.",positive,
15,2,room,6,"Expectation was high because of the photos, but the room was small and a bit dated.",negative,
16,5,room,7,"Spacious room, amazing sea view, sulit na sulit ang bayad namin.",positive,
17,4,room,8,"Great gym and very quiet at night. Wi-Fi was fast enough for remote work.",positive,
18,5,room,9,"The tour guide was punctual and gave clear instructions. Highly recommended for families!",positive,
19,4,room,10,"Beautiful island hopping tour, the lagoons were stunning. Boat waiting time was about 20 minutes.",positive,
20,5,room,10,"Best island tour ever! Super organized, maaasahan ang guide, and the snorkeling spots were amazing.",positive,
21,3,activity,2,"The tour itself was good but the pickup was delayed by 30 minutes. Communicate better please.",negative,
22,5,activity,3,"Ang galing ng guide namin! Very informative and patient with the kids. Five stars talaga.",positive,
23,4,activity,4,"Great value, well-planned itinerary. Bring sunscreen, sobrang init pero worth it.",positive,
24,2,activity,5,"Boat was crowded and the lunch was underwhelming. Scenery was the saving grace.",negative,
25,5,activity,6,"Seamless booking from start to finish. The package included everything we expected and more.",positive,
26,4,activity,7,"Great promo package! The hotel + tour combo saved us a lot. Just wish transfer was included.",positive,
27,5,activity,8,"Everything matched the description perfectly. Smooth transaction and responsive support.",positive,
28,3,activity,9,"The itinerary was good but one activity got cancelled due to weather without a same-day replacement.",negative,
29,5,activity,10,"Ang ganda ng package! Sulit, hassle-free, and the customer service was outstanding.",positive,
30,4,activity,11,"Solid package overall. Minor hiccup with the voucher redemption but support fixed it fast.",positive,
31,5,package,1,"Room was exactly like the photos, super clean, and the staff upgraded us for free!",positive,
32,4,package,2,"Comfortable stay, good breakfast, near the beach. Pool closes a bit early at 8 PM though.",positive,
33,5,package,3,"Mabait lahat ng staff, ang linis ng kwarto, at ang sarap ng food. 10/10!",positive,
34,3,hotel,1,"Average experience. The room was fine but the hallway smelled of cigarette smoke.",neutral,
35,5,hotel,2,"The most relaxing stay we've had. Quiet, clean, and the bed was heaven after a long island day.",positive,
36,4,hotel,3,"Nice modern room with a great view. Extra person fee was a bit steep though.",neutral,
37,5,hotel,4,"Beautiful resort, spotless facilities, and everyone was so accommodating. Would love to come back!",positive,
38,2,hotel,5,"Overpriced for the size of the room. The aircon was old and made noise the whole night.",negative,
39,4,hotel,6,"The diving experience was incredible! Equipment was well-maintained and the crew was professional.",positive,
40,5,hotel,7,"First time parasailing and the crew made me feel safe the whole time. Sobrang saya!",positive,
41,4,hotel,8,"Great kayak tour through the mangroves. Guide was knowledgeable about the local wildlife.",positive,
42,3,room,1,"Fun activity but the meeting point was hard to find. Suggest better signage.",neutral,
43,5,room,1,"ATV tour was a blast! The guides were friendly and the trail had amazing viewpoints.",positive,
44,4,room,2,"Sunset sailing was magical. Boat was clean and the crew served refreshments.",positive,
45,2,room,3,"Tour ran late and the guide seemed rushed. Not the experience we paid for.",negative,
46,5,room,4,"Hotel staff went above and beyond — they even prepared a birthday cake for my wife.",positive,
47,4,room,5,"Good location, clean room, decent breakfast. Slightly noisy during peak season.",neutral,
48,5,room,6,"Super linis, super ganda, super bait ng lahat. Perfect honeymoon stay!",positive,
49,3,room,7,"Room service took an hour to arrive, but the food was delicious when it came.",neutral,
50,5,room,8,"The package was seamless — booking, payment, and vouchers all worked perfectly.",positive,
51,4,room,9,"Great trip overall! Our only note is that the boat transfers could be more organized.",neutral,
52,5,room,10,"100% sulit! Everything was smooth and the activities were fun for the whole barkada.",positive,
53,4,room,10,"Good experience, responsive support on WhatsApp. The hotel choice included was excellent.",positive,
54,3,activity,2,"Average tour — nothing wrong but nothing extraordinary either. Decent value.",positive,
55,5,activity,3,"From booking to checkout, everything was perfect. Will recommend SunnyTrips to all my friends!",positive,
56,5,hotel,1,"Our stay at Henann Palm Beach Resort exceeded our expectations. From check-in to check-out, everything was seamless and well-organized. The staff were warm, professional, and always ready to assist with a smile... Highly recommended!",positive,
57,5,hotel,1,"It was very comfortable!! The staff were very kind, the breakfast buffet was delicious, the bath towels they lend are fluffy... The beach right in front is beautiful.",positive,
58,4,hotel,1,"I felt that the hotel was well-located by the sea and close to D Mall. The pool, which included a sky pool and a regular pool, and the quick access to the beach were great.",positive,
59,5,hotel,1,"We had a great experience at Boracay because of this hotel.",positive,
60,5,hotel,1,"Everything about our experience exceeded our expectations.",positive,
61,5,hotel,1,"Every member of the team was warm, welcoming, and attentive.",positive,
62,5,hotel,1,"We have never experienced such exceptional service before.",positive,
63,5,hotel,1,"The rooms were spotless, modern, and very comfortable.",positive,
64,5,hotel,1,"Great Breakfast. Great View. Sparkling clean. Located in Boracay Island tourist area.",positive,
65,5,hotel,1,"Exceptional Stay – Truly Worth Every Peso.",positive,
66,5,hotel,2,"The location was perfect and the staff were exceptionally helpful, making the stay very comfortable. Facilities were top-notch, including reliable Wi-Fi, hot water, and convenient transport options.",positive,
67,5,hotel,2,"The hotel is next to Robinson Mall. The hotel is very clean and the staff is kind. It operates a free shuttle bus, so it's convenient to go to Station 2.",positive,
68,5,hotel,2,"The place offers excellent value with prime location. Staff is attentive and accommodating. They have a pool and reliable wifi. They also have free shuttle.",positive,
69,5,hotel,2,"We're completely impressed with their professionalism and customer service. The hotel room was clean, nice and spacious. The staff were friendly and helpful.",positive,
70,5,hotel,2,"From the moment we arrived, the staff were amazing, accommodating, and very knowledgeable... Our room was clean, comfortable, and incredibly relaxing.",positive,
71,5,hotel,2,"The value for money is good, you get what you paid for. The cleanliness is superb, everything is neat and new.",positive,
72,5,hotel,2,"The staff were friendly, accommodating, and made us feel welcome throughout our visit. Great location, comfortable rooms, and excellent service.",positive,
73,4,hotel,2,"I highly recommend it and look forward to returning!",positive,
74,5,hotel,2,"May free shuttles and staffs are very nice and accomodating!",positive,
75,5,hotel,2,"We love that it is a decent hotel but very budget-friendly.",positive,
76,4,hotel,3,"Overall, we had a wonderful stay. The breakfast buffet was excellent.",positive,
